SITE CODE= 41329éÖãõêÏésàÍÇÃã{          ,37.4962,137.2705, 15.86,7.6,45292.6738723, 12.58, 21.45
 LAT.=   37.0388
 LON.=  137.8633
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2024 01 01 16 10 10
 NS,EW,UD
0.008,0.020,-0.009
0.009,0.026,-0.012
0.012,0.022,-0.016
0.016,0.012,-0.016
0.017,0.006,-0.014
0.012,0.011,-0.010
0.003,0.021,-0.008
-0.008,0.027,-0.008
-0.013,0.022,-0.012
-0.011,0.011,-0.018
-0.002,0.005,-0.024
0.005,0.004,-0.024
0.005,0.007,-0.020
0.000,0.010,-0.010
-0.006,0.010,-0.001
-0.006,0.010,0.004
0.000,0.013,0.003
0.007,0.017,-0.004
0.008,0.018,-0.013
0.005,0.014,-0.021
0.002,0.007,-0.025
0.002,0.001,-0.024
0.007,-0.001,-0.017
0.011,0.004,-0.010
0.011,0.010,-0.005
0.009,0.016,-0.005
0.007,0.018,-0.007
0.006,0.017,-0.009
0.006,0.018,-0.007
0.007,0.022,-0.007
0.007,0.023,-0.011
0.009,0.021,-0.017
0.014,0.016,-0.021
0.017,0.012,-0.020
0.017,0.014,-0.014
0.014,0.018,-0.008
0.012,0.020,-0.005
0.014,0.018,-0.005
0.017,0.019,-0.006
0.020,0.022,-0.005
0.021,0.025,-0.005
0.021,0.021,-0.006
0.018,0.013,-0.009
0.014,0.007,-0.010
0.008,0.008,-0.009
0.005,0.013,-0.007
0.008,0.017,-0.007
0.015,0.016,-0.007
0.021,0.015,-0.007
0.021,0.017,-0.005
0.017,0.020,-0.005
0.011,0.022,-0.007
0.009,0.021,-0.010
0.011,0.020,-0.010
0.013,0.019,-0.005
0.013,0.018,0.000
0.011,0.016,0.003
0.009,0.014,0.002
0.007,0.016,-0.000
0.006,0.019,-0.002
0.007,0.020,-0.002
0.010,0.015,-0.002
0.013,0.010,-0.000
0.014,0.008,0.003
0.012,0.011,0.007
0.009,0.015,0.009
0.007,0.016,0.004
0.007,0.012,-0.005
0.007,0.008,-0.010
0.007,0.005,-0.009
0.006,0.004,-0.000
0.005,0.005,0.008
0.005,0.008,0.012
0.005,0.012,0.011
0.006,0.012,0.006
0.005,0.008,0.003
0.002,0.003,0.002
-0.003,0.001,0.003
-0.009,0.007,0.004
-0.013,0.014,0.003
-0.013,0.017,0.002
-0.010,0.010,0.002
-0.005,-0.001,0.004
-0.004,-0.007,0.006
-0.005,-0.005,0.004
-0.009,-0.001,-0.000
-0.011,0.000,-0.002
-0.006,-0.005,0.002
0.000,-0.011,0.009
0.004,-0.011,0.014
-0.002,-0.005,0.012
-0.013,-0.001,0.007
-0.020,-0.004,0.005
-0.018,-0.010,0.009
-0.012,-0.009,0.013
-0.009,0.001,0.010
-0.014,0.014,-0.002
-0.021,0.018,-0.011
-0.022,0.008,-0.010
-0.013,-0.005,0.002
-0.004,-0.009,0.016
0.000,0.000,0.022
-0.002,0.010,0.017
-0.002,0.011,0.009
0.002,0.002,0.003
0.002,-0.005,0.002
-0.005,-0.003,0.001
-0.019,0.006,-0.002
-0.028,0.012,-0.006
-0.026,0.008,-0.004
-0.017,0.000,0.007
-0.012,-0.003,0.018
-0.013,0.004,0.021
-0.018,0.011,0.013
-0.018,0.011,0.003
-0.013,0.002,0.002
